TXN_ID,DATE,MINISTRY_CODE,MINISTRY_NAME,ACCOUNT_CODE,DESCRIPTION,VENDOR,AMOUNT_KES,PAYMENT_METHOD
KE-2400000,22/10/2023,MOE,Ministry of Education,2211407,Cleaning and fumigation - health facilities,TransAfrica Logistics,1767857.37,BANK_TRANSFER
KE-2400001,27/12/2023,MOF,Ministry of Finance,2211305,Immunisation outreach,Vitalis Pharma,1329.73,MOBILE_MONEY
KE-2400002,04/07/2023,MOE,Ministry of Education,2211101,Medical drugs,GreenLeaf Consultancy,58982.3,MOBILE_MONEY
KE-2400003,21/09/2023,MOE,Ministry of Education,2211306,Antenatal outreach services,PharmaWest Africa,237811.49,BANK_TRANSFER
KE-2400004,09/12/2023,MOH,Ministry of Health,3110701,Purchase of vehicles - ambulances,Regional Bank Services,203506.61,CHEQUE
KE-2400005,03/08/2023,MOI,Ministry of Interior,2211305,Immunisation outreach,Modern Office Systems,394363.66,BANK_TRANSFER
KE-2400006,18/02/2024,MOE,Ministry of Education,2211105,HIV test kits and ARVs,Sunrise Cleaning Services,1470047.26,CHEQUE
KE-2400007,25/07/2023,MOFA,Ministry of Family Affairs,2211201,Laboratory reagents,Nile Motors,308407.58,CHEQUE
KE-2400008,26/05/2024,MOI,Ministry of Interior,2211404,SGBV survivor support services,TechnoServ Africa,302985.22,BANK_TRANSFER
KE-2400009,13/01/2024,MOH,Ministry of Health,2211103,Vaccines,Sunrise Cleaning Services,2047.08,BANK_TRANSFER
KE-2400010,22/06/2024,MOF,Ministry of Finance,3110701,PURCHASE OF VEHICLES - AMBULANCES,United Diagnostics,-771862.67,CHEQUE
KE-2400011,26/11/2023,MOF,Ministry of Finance,2211110,Maternity supplies and delivery kits,Public Health Institute,728652.49,CHEQUE
KE-2400012,15/09/2023,MOE,Ministry of Education,3110701,Purchase of vehicles - ambulances,Nile Motors,76232.94,MOBILE_MONEY
KE-2400013,14/04/2024,MOH,Ministry of Health,2211511,Printing and stationery,United Diagnostics,2104.05,CHEQUE
KE-2400014,16/04/2024,MOFA,Ministry of Family Affairs,2210201,Communication supplies,TechnoServ Africa,2045250.21,BANK_TRANSFER
KE-2400015,25/09/2023,MOFA,Ministry of Family Affairs,2211308,Youth SRH counselling services,Highlands Print Works,303491.64,MOBILE_MONEY
KE-2400016,20/06/2024,MOFA,Ministry of Family Affairs,2211320,Cervical cancer screening,TransAfrica Logistics,804076.87,CHEQUE
KE-2400017,28/09/2023,MOH,Ministry of Health,2211501,Refined fuels,Care Foundation,260858.91,CHEQUE
KE-2400018,07/12/2023,MOE,Ministry of Education,2210301,Domestic travel,TechnoServ Africa,2060743.1,CHEQUE
KE-2400019,15/12/2023,MOF,Ministry of Finance,2211102,contraceptives and family planning commodities,GreenLeaf Consultancy,32560.66,BANK_TRANSFER
KE-2400020,16/05/2024,MOFA,Ministry of Family Affairs,2211110,Maternity supplies and delivery kits,MediPlus Distributors,248156.09,BANK_TRANSFER
KE-2400021,20/09/2023,MOE,Ministry of Education,2110101,Basic salaries - permanent employees,Care Foundation,272608.73,MOBILE_MONEY
KE-2400022,17/11/2023,MOH,Ministry of Health,2211501,Refined fuels,Highlands Print Works,1830.05,CHEQUE
