sha_code,sha_description,notes
HC.1.1,Curative care - inpatient,
HC.1.2,Curative care - day cases,
HC.1.3,Curative care - outpatient,
HC.1.4,Curative care - home-based,
HC.2,Rehabilitative care,
HC.3,Long-term health care,
HC.4,"Ancillary services (diagnostic, transport)",
HC.5.1,Medical goods - pharmaceuticals,
HC.5.2,Medical goods - therapeutic appliances,
HC.6.1,Prevention - information/education/counselling programmes,
HC.6.2,Prevention - immunisation programmes,
HC.6.3,Prevention - early disease detection,
HC.6.4,Prevention - healthy condition monitoring,
HC.6.5,Prevention - epidemiological surveillance and disease control,
HC.6.6,Prevention - disaster and emergency response,
HC.7,Governance and health system administration,
HC.R.1,Related - long-term social care,
